UF,Cidade,Codigo,TotalEleitores,TotalComparecimento
"BA","JACOBINA",36510,60649,48519.2
"BA","JAGUAQUARA",36536,35106,28084.8
"BA","JAGUARARI",36552,21078,16862.4
"BA","JAGUARIPE",36579,14860,11888.0
"BA","JANDAÍRA",36595,8734,6987.2
"BA","JEQUIÉ",36617,116296,93036.8
"BA","JEREMOABO",36633,27534,22027.2
"BA","JIQUIRIÇÁ",36650,10831,8664.8
"BA","JITAÚNA",36676,12698,10158.4
"BA","JOÃO DOURADO",30996,18709,14967.2
"BA","JUAZEIRO",36692,158557,126845.6
"BA","JUCURUÇU",36706,8220,6576.0
"BA","JUSSARA",36714,13392,10713.6
"BA","JUSSARI",30694,4611,3688.8
"BA","JUSSIAPE",36730,6428,5142.4
"BA","LAFAIETE COUTINHO",36757,4106,3284.8
"BA","LAGOA REAL",36765,10224,8179.2
"BA","LAJE",36773,19760,15808.0
"BA","LAJEDÃO",36790,4339,3471.2
"BA","LAJEDINHO",36811,3476,2780.8
"BA","LAJEDO DO TABOCAL",36820,6131,4904.8
"BA","LAMARÃO",36838,7862,6289.6
"BA","LAPÃO",39730,21288,17030.4
"BA","LAURO DE FREITAS",36854,155304,124243.2
"BA","LENÇÓIS",36870,7675,6140.0
"BA","LICÍNIO DE ALMEIDA",36897,9509,7607.2
"BA","LIVRAMENTO DE NOSSA SENHORA",36919,33480,26784.0
"BA","LUÍS EDUARDO MAGALHÃES",30007,73066,58452.8
"BA","MACAJUBA",36935,9700,7760.0
"BA","MACARANI",36951,12611,10088.8
"BA","MACAÚBAS",36978,32161,25728.8
"BA","MACURURÉ",36994,6260,5008.0
"BA","MADRE DE DEUS",39748,16255,13004.0
"BA","MAETINGA",39756,6416,5132.8
"BA","MAIQUINIQUE",37010,7215,5772.0
"BA","MAIRI",37036,13448,10758.4
"BA","MALHADA",37052,12869,10295.2
"BA","MALHADA DE PEDRAS",37079,7524,6019.2
"BA","MANOEL VITORINO",37095,12847,10277.6
"BA","MANSIDÃO",39772,9977,7981.6
"BA","MARACÁS",37117,20561,16448.8
"BA","MARAGOGIPE",37133,33652,26921.6
"BA","MARAÚ",37150,15767,12613.6
"BA","MARCIONÍLIO SOUZA",37176,7438,5950.4
"BA","MASCOTE",37192,8805,7044.0
"BA","MATA DE SÃO JOÃO",37214,41887,33509.6
"BA","MATINA",37222,9320,7456.0
"BA","MEDEIROS NETO",37230,18208,14566.4
"BA","MIGUEL CALMON",37257,19526,15620.8
"BA","MILAGRES",37273,8655,6924.0
"BA","MIRANGABA",37290,12288,9830.4
"BA","MIRANTE",37303,7723,6178.4
"BA","MONTE SANTO",37311,40275,32220.0
"BA","MORPARÁ",37338,7427,5941.6
"BA","MORRO DO CHAPÉU",37354,25419,20335.2
"BA","MORTUGABA",37370,9196,7356.8
"BA","MUCUGÊ",37397,9461,7568.8
"BA","MUCURI",37419,27484,21987.2
"BA","MULUNGU DO MORRO",37427,10588,8470.4
"BA","MUNDO NOVO",37435,14604,11683.2
"BA","MUNIZ FERREIRA",37451,8063,6450.4
"BA","MUQUÉM DO SÃO FRANCISCO",37460,9356,7484.8
"BA","MURITIBA",37478,23582,18865.6
"BA","MUTUÍPE",37494,17425,13940.0
"BA","NAZARÉ",37516,21409,17127.2
"BA","NILO PEÇANHA",37532,9622,7697.6
"BA","NORDESTINA",39799,9747,7797.6
"BA","NOVA CANAÃ",37559,12360,9888.0
"BA","NOVA FÁTIMA",37567,7620,6096.0
"BA","NOVA IBIÁ",39969,5334,4267.2
"BA","NOVA ITARANA",37575,6195,4956.0
"BA","NOVA REDENÇÃO",37583,6184,4947.2
"BA","NOVA SOURE",37591,20433,16346.4
"BA","NOVA VIÇOSA",37613,29850,23880.0
"BA","NOVO HORIZONTE",39942,9092,7273.6
"BA","NOVO TRIUNFO",37621,8040,6432.0
"BA","OLINDINA",37630,19110,15288.0
"BA","OLIVEIRA DOS BREJINHOS",37656,15716,12572.8
"BA","OURIÇANGAS",37672,6848,5478.4
"BA","OUROLÂNDIA",37680,13935,11148.0
"BA","PALMAS DE MONTE ALTO",37699,16933,13546.4
"BA","PALMEIRAS",37710,7620,6096.0
"BA","PARAMIRIM",37737,16513,13210.4
"BA","PARATINGA",37753,23408,18726.4
"BA","PARIPIRANGA",37770,23204,18563.2
"BA","PAU BRASIL",37796,7493,5994.4
"BA","PAULO AFONSO",37818,81341,65072.8
"BA","PÉ DE SERRA",39810,11750,9400.0
"BA","PEDRÃO",37834,6257,5005.6
"BA","PEDRO ALEXANDRE",37850,9509,7607.2
"BA","PIATÃ",37877,16626,13300.8
"BA","PILÃO ARCADO",37893,27386,21908.8
"BA","PINDAÍ",37915,12360,9888.0
"BA","PINDOBAÇU",37931,15536,12428.8
"BA","PINTADAS",39837,8782,7025.6
"BA","PIRAÍ DO NORTE",37940,6884,5507.2
"BA","PIRIPÁ",37958,8569,6855.2
"BA","PIRITIBA",37974,13898,11118.4
"BA","PLANALTINO",37990,6718,5374.4
"BA","PLANALTO",38016,19872,15897.6
"BA","POÇÕES",38032,36020,28816.0
"BA","POJUCA",38059,28720,22976.0
"BA","PONTO NOVO",38067,14048,11238.4
"BA","PORTO SEGURO",38075,110569,88455.2
"BA","POTIRAGUÁ",38091,7870,6296.0
"BA","PRADO",38113,23700,18960.0
"BA","PRESIDENTE DUTRA",38130,11715,9372.0
"BA","PRESIDENTE JÂNIO QUADROS",38156,10357,8285.6
"BA","PRESIDENTE TANCREDO NEVES",38164,20817,16653.6
"BA","QUEIMADAS",38172,19426,15540.8
"BA","QUIJINGUE",38199,20000,16000.0
"BA","QUIXABEIRA",39845,8599,6879.2
"BA","RAFAEL JAMBEIRO",39853,18300,14640.0
"BA","REMANSO",38210,31028,24822.4
"BA","RETIROLÂNDIA",38237,12376,9900.8
"BA","RIACHÃO DAS NEVES",38253,18873,15098.4
"BA","RIACHÃO DO JACUÍPE",38270,26665,21332.0
"BA","RIACHO DE SANTANA",38296,23162,18529.6
"BA","RIBEIRA DO AMPARO",38318,11788,9430.4
"BA","RIBEIRA DO POMBAL",38334,43578,34862.4
"BA","RIBEIRÃO DO LARGO",38342,8586,6868.8
"BA","RIO DE CONTAS",38350,11774,9419.2
"BA","RIO DO ANTÔNIO",38377,10290,8232.0
"BA","RIO DO PIRES",38393,10428,8342.4
"BA","RIO REAL",38415,28084,22467.2
"BA","RODELAS",38431,7357,5885.6
"BA","RUY BARBOSA",38458,23502,18801.6
"BA","SALINAS DA MARGARIDA",38474,14880,11904.0
"BA","SALVADOR",38490,1976477,1581181.6
"BA","SANTA BÁRBARA",38512,19301,15440.8
"BA","SANTA BRÍGIDA",38539,11482,9185.6
"BA","SANTA CRUZ CABRÁLIA",38555,24956,19964.8
"BA","SANTA CRUZ DA VITÓRIA",38571,4811,3848.8
"BA","SANTA INÊS",38598,7897,6317.6
"BA","SANTALUZ",38610,30723,24578.4
"BA","SANTA LUZIA",39870,8756,7004.8
"BA","SANTA MARIA DA VITÓRIA",38636,29649,23719.2
"BA","SANTANA",38652,20186,16148.8
"BA","SANTANÓPOLIS",38679,9167,7333.6
"BA","SANTA RITA DE CÁSSIA",35491,22179,17743.2
"BA","SANTA TEREZINHA",38695,8879,7103.2
"BA","SANTO AMARO",38717,47266,37812.8
